Drink,fl oz,Calories,Caffeine (mg),mg/ floz,Type,Release Year,Source
Mucho Mango Energy Drink,8.0,100.0,0.0,0.0,Soda,,
Mug Root Beer,12.0,160.0,0.0,0.0,Soda,,
Orange Crush,12.0,160.0,0.0,0.0,Soda,,
Panera Charged Lemonade,30.0,280.0,390.0,13.0,Soda,,
PC Cola,12.0,150.0,12.0,1.0,Soda,,
PC Cola Diet,12.0,0.0,13.0,1.1,Soda,,
Pepsi,12.0,150.0,38.0,3.2,Soda,,
Pepsi Caffeine Free,12.0,150.0,0.0,0.0,Soda,,
Pepsi Made With Sugar,12.0,150.0,38.0,3.2,Soda,,
Pepsi Max (UK),11.16,0.0,43.0,3.8,Soda,,
Pepsi Zero Sugar,12.0,0.0,38.0,3.2,Soda,,
Pibb Xtra,12.0,140.0,40.0,3.3,Soda,,
Premium Cola (EU),11.16,132.0,83.0,7.4,Soda,,
RC (Royal Crown) Cola,12.0,160.0,43.0,3.6,Soda,,
Red Bull Simply Cola,8.46,0.0,32.0,3.8,Soda,,
Ritz Cola,12.0,144.0,10.0,0.9,Soda,,
Ruby Red Squirt,12.0,170.0,39.0,3.2,Soda,,
Sarsaparilla,12.0,170.0,0.0,0.0,Soda,,
Shasta Cola,12.0,170.0,43.0,3.6,Soda,,
Shasta Diet Cola,12.0,0.0,47.0,3.9,Soda,,
Shasta Mountain Rush,12.0,150.0,54.0,4.5,Soda,,
Ski Soda,12.0,180.0,69.0,5.8,Soda,,
Slurpee,12.0,90.0,30.0,2.5,Soda,,
Soda Stream,8.0,40.0,31.0,3.9,Soda,,
Sprecher Cherry Cola,16.0,240.0,0.0,0.0,Soda,,
Sprite,12.0,140.0,0.0,0.0,Soda,,
Squirt Soda,12.0,140.0,0.0,0.0,Soda,,
Starbucks Refreshers Canned,12.0,90.0,50.0,4.2,Soda,,
Sun Drop Soda,12.0,170.0,64.0,5.3,Soda,,
Sunkist Orange Soda,12.0,160.0,19.0,1.6,Soda,,
Tropicana Twister Soda,20.0,320.0,0.0,0.0,Soda,,
Vernors Ginger Ale,12.0,140.0,0.0,0.0,Soda,,
Wave Soda,12.0,25.0,42.0,3.5,Soda,,
Wild Cherry Pepsi,12.0,160.0,38.0,3.2,Soda,,
Zevia Cola,12.0,0.0,45.0,3.8,Soda,,
28 Black Energy Drink,8.46,125.0,80.0,9.5,Energy Drink,2008.0,https://www.28black.com/en-US/about-us.html
3D Energy Drink,16.0,15.0,200.0,12.5,Energy Drink,2017.0,https://www.stack3d.com/2018/08/3d-energy.html
4 Purpose Energy Drink,8.46,70.0,70.0,8.3,Energy Drink,2016.0,https://www.bevnet.com/news/2017/4-purpose-energy-drink-marks-one-year-anniversary
4C Energy Drink Mix,16.9,15.0,170.0,10.1,Energy Drink,,
A Shoc,16.0,10.0,250.0,15.6,Energy Drink,,
ABB Turbo Tea Zero,18.0,0.0,120.0,6.7,Energy Drink,2016.0,https://dsld.od.nih.gov/label/57387
Accelerator,12.0,10.0,150.0,12.5,Energy Drink,,
