Drink,fl oz,Calories,Caffeine (mg),mg/ floz,Type
Starbucks Via Ready Brew,8.0,0,135,16.9,coffee
Steep 18 Cold Brew,8.0,0,90,11.2,coffee
Stipe Miocic Extra Strength Coffee,12.0,0,500,41.7,coffee
Stok Coffee Shots,0.43,10,40,93.0,coffee
Stok Cold Brew,13.7,0,145,10.6,coffee
Stumptown Cold Brew Coffee,10.5,3,279,26.6,coffee
Stumptown Nitro Cold Brew,11.0,3,330,30.0,coffee
Sudden Instant Coffee,12.0,0,95,7.9,coffee
Sunup Pure Green Coffee,11.0,5,200,18.2,coffee
Taft Coffee (EU),12.0,0,1182,98.5,coffee
Taster's Choice Instant Coffee,8.0,0,98,12.2,coffee
Tim Hortons Large Brewed Coffee,20.0,5,270,13.5,coffee
Tim Hortons Small French Vanilla Coffee,10.0,0,60,6.0,coffee
TrueStart Performance Coffee,5.1,0,95,18.6,coffee
Turkish Coffee,2.0,20,50,25.0,coffee
V Iced Coffee,16.91,345,155,9.2,coffee
Very Strong Coffee,12.0,0,1350,112.5,coffee
Voila Instant Coffee,8.0,0,100,12.5,coffee
Waka Decaf Instant Coffee,8.0,0,4,0.5,coffee
Waka Indian Instant Coffee,8.0,0,70,8.8,coffee
Waka Instant Coffee,8.0,0,70,8.8,coffee
Wawa Coffee,16.0,4,290,18.1,coffee
Whipped (Dalgona) Coffee,8.0,48,105,13.1,coffee
Wide Awake Coffee Cold Brew,11.0,5,120,10.9,coffee
Wide Awake Energy Coffee,15.0,190,180,12.0,coffee
Wide Awake Iced Coffee Drinks,13.7,290,30,2.2,coffee
Zola Coconut Water Espresso,17.5,0,125,7.1,coffee
